group,sort,reward_type,reward_spce,reward_value,weight,integral,icon,desc
29,1,GEM,0,121,50,50,,
30,3,DICE,0,121,1000,200,,
30,2,GEM,0,24,350,100,,
30,1,COIN,0,66550,50,50,,
31,3,GOLD,0,66550,1000,200,,
31,2,GOLD,0,33275,350,100,,
31,1,GOLD,0,16637,50,50,,
32,3,GOLD,0,69877,1000,200,,
32,2,GOLD,0,34938,350,100,,
32,1,GOLD,0,17468,50,50,,
33,3,GOLD,0,73370,1000,200,,
33,2,GOLD,0,36683,350,100,,
33,1,GOLD,0,18341,50,50,,
34,3,DICE,0,266,1000,200,,
34,2,DICE,0,133,350,100,,
34,1,DICE,0,66,50,50,,
35,3,DICE,0,279,1000,200,,
35,2,DICE,0,138,350,100,,
35,1,DICE,0,68,50,50,,
36,3,DICE,0,292,1000,200,,
36,2,DICE,0,146,350,100,,
36,1,DICE,0,70,50,50,,
37,3,GEM,0,133,1000,200,,
37,2,GEM,0,66,350,100,,
37,1,GEM,0,31,50,50,,
38,3,GEM,0,138,1000,200,,
38,2,GEM,0,68,350,100,,
38,1,GEM,0,33,50,50,,
39,3,GEM,0,146,1000,200,,
39,2,GEM,0,70,350,100,,
39,1,GEM,0,133,50,50,,
40,3,DICE,0,133,1000,200,,
40,2,GEM,0,26,350,100,,
40,1,COIN,0,73205,50,50,,
41,3,GOLD,0,73205,1000,200,,
41,2,GOLD,0,36602,350,100,,
41,1,GOLD,0,18300,50,50,,
42,3,GOLD,0,76864,1000,200,,
42,2,GOLD,0,38431,350,100,,
42,1,GOLD,0,19214,50,50,,
43,3,GOLD,0,80707,1000,200,,
43,2,GOLD,0,40351,350,100,,
43,1,GOLD,0,20175,50,50,,
44,3,DICE,0,292,1000,200,,
44,2,DICE,0,146,350,100,,
44,1,DICE,0,72,50,50,,
45,3,DICE,0,306,1000,200,,
45,2,DICE,0,151,350,100,,
45,1,DICE,0,74,50,50,,
46,3,DICE,0,321,1000,200,,
46,2,DICE,0,160,350,100,,
46,1,DICE,0,77,50,50,,
47,3,GEM,0,146,1000,200,,
47,2,GEM,0,72,350,100,,
47,1,GEM,0,34,50,50,,
48,3,GEM,0,151,1000,200,,
48,2,GEM,0,74,350,100,,
48,1,GEM,0,36,50,50,,
49,3,GEM,0,160,1000,200,,
49,2,GEM,0,77,350,100,,
49,1,GEM,0,146,50,50,,
50,3,DICE,0,146,1000,200,,
50,2,GEM,0,28,350,100,,
50,1,COIN,0,80525,50,50,,
51,3,GOLD,0,80525,1000,200,,
51,2,GOLD,0,40262,350,100,,
51,1,GOLD,0,20130,50,50,,
52,3,GOLD,0,84550,1000,200,,
52,2,GOLD,0,42274,350,100,,
52,1,GOLD,0,21135,50,50,,
53,3,GOLD,0,88777,1000,200,,
53,2,GOLD,0,44386,350,100,,
53,1,GOLD,0,22192,50,50,,
54,3,DICE,0,321,1000,200,,
54,2,DICE,0,160,350,100,,
54,1,DICE,0,79,50,50,,
55,3,DICE,0,336,1000,200,,
55,2,DICE,0,166,350,100,,
55,1,DICE,0,81,50,50,,
56,3,DICE,0,353,1000,200,,
56,2,DICE,0,176,350,100,,
56,1,DICE,0,84,50,50,,
57,3,GEM,0,160,1000,200,,
57,2,GEM,0,79,350,100,,
57,1,GEM,0,37,50,50,,
58,3,GEM,0,166,1000,200,,
58,2,GEM,0,81,350,100,,
58,1,GEM,0,39,50,50,,
59,3,GEM,0,176,1000,200,,
59,2,GEM,0,84,350,100,,
59,1,GEM,0,160,50,50,,
60,3,DICE,0,160,1000,200,,
60,2,GEM,0,30,350,100,,
60,1,COIN,0,88577,50,50,,
61,3,GOLD,0,88577,1000,200,,
61,2,GOLD,0,44288,350,100,,
61,1,GOLD,0,22143,50,50,,
62,3,GOLD,0,93005,1000,200,,
62,2,GOLD,0,46501,350,100,,
62,1,GOLD,0,23248,50,50,,
63,3,GOLD,0,97654,1000,200,,
63,2,GOLD,0,48824,350,100,,
63,1,GOLD,0,24411,50,50,,
64,3,DICE,0,353,1000,200,,
64,2,DICE,0,176,350,100,,
64,1,DICE,0,86,50,50,,
65,3,DICE,0,369,1000,200,,
65,2,DICE,0,182,350,100,,
65,1,DICE,0,89,50,50,,
66,3,DICE,0,388,1000,200,,
66,2,DICE,0,193,350,100,,
66,1,DICE,0,92,50,50,,
67,3,GEM,0,176,1000,200,,
67,2,GEM,0,86,350,100,,
67,1,GEM,0,40,50,50,,
68,3,GEM,0,182,1000,200,,
68,2,GEM,0,89,350,100,,
68,1,GEM,0,42,50,50,,
69,3,GEM,0,193,1000,200,,
69,2,GEM,0,92,350,100,,
69,1,GEM,0,176,50,50,,
70,3,DICE,0,176,1000,200,,
70,2,GEM,0,33,350,100,,
70,1,COIN,0,97434,50,50,,
71,3,GOLD,0,97434,1000,200,,
71,2,GOLD,0,48716,350,100,,
71,1,GOLD,0,24357,50,50,,
72,3,GOLD,0,102305,1000,200,,
72,2,GOLD,0,51151,350,100,,
72,1,GOLD,0,25572,50,50,,
73,3,GOLD,0,107419,1000,200,,
73,2,GOLD,0,53706,350,100,,
73,1,GOLD,0,26852,50,50,,
74,3,DICE,0,388,1000,200,,
74,2,DICE,0,193,350,100,,
74,1,DICE,0,94,50,50,,
75,3,DICE,0,405,1000,200,,
75,2,DICE,0,200,350,100,,
75,1,DICE,0,97,50,50,,
76,3,DICE,0,426,1000,200,,
76,2,DICE,0,212,350,100,,
76,1,DICE,0,101,50,50,,
77,3,GEM,0,193,1000,200,,
77,2,GEM,0,94,350,100,,
77,1,GEM,0,44,50,50,,
78,3,GEM,0,200,1000,200,,
78,2,GEM,0,97,350,100,,
78,1,GEM,0,46,50,50,,
79,3,GEM,0,212,1000,200,,
79,2,GEM,0,101,350,100,,
79,1,GEM,0,193,50,50,,
80,3,DICE,0,193,1000,200,,
80,2,GEM,0,36,350,100,,
80,1,COIN,0,107177,50,50,,
81,3,GOLD,0,107177,1000,200,,
81,2,GOLD,0,53587,350,100,,
81,1,GOLD,0,26792,50,50,,
82,3,GOLD,0,112535,1000,200,,
82,2,GOLD,0,56266,350,100,,
82,1,GOLD,0,28129,50,50,,
83,3,GOLD,0,118160,1000,200,,
83,2,GOLD,0,59076,350,100,,
83,1,GOLD,0,29537,50,50,,
84,3,DICE,0,426,1000,200,,
84,2,DICE,0,212,350,100,,
84,1,DICE,0,103,50,50,,
85,3,DICE,0,445,1000,200,,
85,2,DICE,0,220,350,100,,
85,1,DICE,0,106,50,50,,
86,3,DICE,0,468,1000,200,,
86,2,DICE,0,233,350,100,,
86,1,DICE,0,111,50,50,,
87,3,GEM,0,212,1000,200,,
87,2,GEM,0,103,350,100,,
87,1,GEM,0,48,50,50,,
88,3,GEM,0,220,1000,200,,
88,2,GEM,0,106,350,100,,
88,1,GEM,0,50,50,50,,
89,3,GEM,0,233,1000,200,,
89,2,GEM,0,111,350,100,,
89,1,GEM,0,212,50,50,,
90,3,DICE,0,212,1000,200,,
90,2,GEM,0,39,350,100,,
90,1,COIN,0,117894,50,50,,
91,3,GOLD,0,117894,1000,200,,
91,2,GOLD,0,58945,350,100,,
91,1,GOLD,0,29471,50,50,,
92,3,GOLD,0,123788,1000,200,,
92,2,GOLD,0,61892,350,100,,
92,1,GOLD,0,30941,50,50,,
93,3,GOLD,0,129976,1000,200,,
93,2,GOLD,0,64983,350,100,,
93,1,GOLD,0,32490,50,50,,
94,3,DICE,0,468,1000,200,,
94,2,DICE,0,233,350,100,,
94,1,DICE,0,113,50,50,,
95,3,DICE,0,489,1000,200,,
95,2,DICE,0,242,350,100,,
95,1,DICE,0,116,50,50,,
96,3,DICE,0,514,1000,200,,
96,2,DICE,0,256,350,100,,
96,1,DICE,0,122,50,50,,
97,3,GEM,0,233,1000,200,,
97,2,GEM,0,113,350,100,,
97,1,GEM,0,52,50,50,,
98,3,GEM,0,242,1000,200,,
98,2,GEM,0,116,350,100,,
98,1,GEM,0,55,50,50,,
99,3,GEM,0,256,1000,200,,
99,2,GEM,0,122,350,100,,
99,1,GEM,0,233,50,50,,
100,3,DICE,0,233,1000,200,,
100,2,GEM,0,42,350,100,,
100,1,COIN,0,129683,50,50,,
