group,level,required_points,reward_gold,reward_gem,reward_dice,reward_desc
4,13,160000,0,0,240000,[十三級獎勵]
4,14,320000,12000000,0,400000,[十四級獎勵]
4,15,480000,0,0,640000,[十五級獎勵]
4,16,800000,80000000,400000,1600000,[終極獎勵]
5,1,160,16000,0,0,[一級獎勵]
5,2,320,0,320,320,[二級獎勵]
5,3,800,0,0,800,[三級獎勵]
5,4,1600,160000,640,1600,[四級獎勵]
5,5,3200,0,0,3200,[五級獎勵]
5,6,6400,0,0,16000,[六級獎勵]
5,7,12800,0,0,32000,[七級獎勵]
5,8,24000,0,0,64000,[八級獎勵]
5,9,48000,0,0,96000,[九級獎勵]
5,10,80000,0,0,160000,[十級獎勵]
5,11,128000,8000000,0,240000,[十一級獎勵]
5,12,160000,0,80000,0,[十二級獎勵]
5,13,320000,0,0,480000,[十三級獎勵]
5,14,640000,24000000,0,800000,[十四級獎勵]
5,15,960000,0,0,1280000,[十五級獎勵]
5,16,1600000,160000000,800000,3200000,[終極獎勵]
6,1,320,32000,0,0,[一級獎勵]
6,2,640,0,640,640,[二級獎勵]
6,3,1600,0,0,1600,[三級獎勵]
6,4,3200,320000,1280,3200,[四級獎勵]
6,5,6400,0,0,6400,[五級獎勵]
6,6,12800,0,0,32000,[六級獎勵]
6,7,25600,0,0,64000,[七級獎勵]
6,8,48000,0,0,128000,[八級獎勵]
6,9,96000,0,0,192000,[九級獎勵]
6,10,160000,0,0,320000,[十級獎勵]
6,11,256000,16000000,0,480000,[十一級獎勵]
6,12,320000,0,160000,0,[十二級獎勵]
6,13,640000,0,0,960000,[十三級獎勵]
6,14,1280000,48000000,0,1600000,[十四級獎勵]
6,15,1920000,0,0,2560000,[十五級獎勵]
6,16,3200000,320000000,1600000,6400000,[終極獎勵]
7,1,640,64000,0,0,[一級獎勵]
7,2,1280,0,1280,1280,[二級獎勵]
7,3,3200,0,0,3200,[三級獎勵]
7,4,6400,640000,2560,6400,[四級獎勵]
7,5,12800,0,0,12800,[五級獎勵]
7,6,25600,0,0,64000,[六級獎勵]
7,7,51200,0,0,128000,[七級獎勵]
7,8,96000,0,0,256000,[八級獎勵]
7,9,192000,0,0,384000,[九級獎勵]
7,10,320000,0,0,640000,[十級獎勵]
7,11,512000,32000000,0,960000,[十一級獎勵]
7,12,640000,0,320000,0,[十二級獎勵]
7,13,1280000,0,0,1920000,[十三級獎勵]
7,14,2560000,96000000,0,3200000,[十四級獎勵]
7,15,3840000,0,0,5120000,[十五級獎勵]
7,16,6400000,640000000,3200000,12800000,[終極獎勵]
8,1,1280,128000,0,0,[一級獎勵]
8,2,2560,0,2560,2560,[二級獎勵]
8,3,6400,0,0,6400,[三級獎勵]
8,4,12800,1280000,5120,12800,[四級獎勵]
8,5,25600,0,0,25600,[五級獎勵]
8,6,51200,0,0,128000,[六級獎勵]
8,7,102400,0,0,256000,[七級獎勵]
8,8,192000,0,0,512000,[八級獎勵]
8,9,384000,0,0,768000,[九級獎勵]
8,10,640000,0,0,1280000,[十級獎勵]
8,11,1024000,64000000,0,1920000,[十一級獎勵]
8,12,1280000,0,640000,0,[十二級獎勵]
8,13,2560000,0,0,3840000,[十三級獎勵]
8,14,5120000,192000000,0,6400000,[十四級獎勵]
8,15,7680000,0,0,10240000,[十五級獎勵]
8,16,12800000,1280000000,6400000,25600000,[終極獎勵]
9,1,2560,256000,0,0,[一級獎勵]
9,2,5120,0,5120,5120,[二級獎勵]
9,3,12800,0,0,12800,[三級獎勵]
9,4,25600,2560000,10240,25600,[四級獎勵]
9,5,51200,0,0,51200,[五級獎勵]
9,6,102400,0,0,256000,[六級獎勵]
9,7,204800,0,0,512000,[七級獎勵]
9,8,384000,0,0,1024000,[八級獎勵]
9,9,768000,0,0,1536000,[九級獎勵]
9,10,1280000,0,0,2560000,[十級獎勵]
9,11,2048000,128000000,0,3840000,[十一級獎勵]
9,12,2560000,0,1280000,0,[十二級獎勵]
9,13,5120000,0,0,7680000,[十三級獎勵]
9,14,10240000,384000000,0,12800000,[十四級獎勵]
9,15,15360000,0,0,20480000,[十五級獎勵]
9,16,25600000,2560000000,12800000,51200000,[終極獎勵]
10,1,5120,512000,0,0,[一級獎勵]
10,2,10240,0,10240,10240,[二級獎勵]
10,3,25600,0,0,25600,[三級獎勵]
10,4,51200,5120000,20480,51200,[四級獎勵]
10,5,102400,0,0,102400,[五級獎勵]
10,6,204800,0,0,512000,[六級獎勵]
10,7,409600,0,0,1024000,[七級獎勵]
10,8,768000,0,0,2048000,[八級獎勵]
10,9,1536000,0,0,3072000,[九級獎勵]
10,10,2560000,0,0,5120000,[十級獎勵]
10,11,4096000,256000000,0,7680000,[十一級獎勵]
10,12,5120000,0,2560000,0,[十二級獎勵]
10,13,10240000,0,0,15360000,[十三級獎勵]
10,14,20480000,768000000,0,25600000,[十四級獎勵]
10,15,30720000,0,0,40960000,[十五級獎勵]
10,16,51200000,5120000000,25600000,102400000,[終極獎勵]
